iter	Logloss
0	0.6411391412
1	0.6023969963
2	0.5722784333
3	0.5463922129
4	0.5080550624
5	0.4891863605
6	0.4717367045
7	0.4562656401
8	0.4430334088
9	0.4305861493
10	0.418960379
11	0.4104906931
12	0.4009030973
13	0.3933938865
14	0.3694941722
15	0.3493092431
16	0.3436530545
17	0.3360629501
18	0.3327068911
19	0.3248551524
20	0.3200083671
21	0.3086628266
22	0.3043337409
23	0.3010247511
24	0.2961677782
25	0.2921316629
26	0.2881691159
27	0.2829901924
28	0.2807606792
29	0.2766102443
30	0.270880728
31	0.2678967466
32	0.2664036038
33	0.2637572307
34	0.2618008215
35	0.2582741892
36	0.2552333353
37	0.2530529482
38	0.2479314763
39	0.2451515477
40	0.2440939538
41	0.241506118
42	0.2403211479
43	0.2386355448
44	0.2376015689
45	0.2353001098
46	0.2333911214
47	0.2319088249
48	0.2302976921
49	0.2287842868
50	0.2274463088
51	0.2268224408
52	0.2257658504
53	0.2249287183
54	0.2227179549
55	0.2215593837
56	0.2200175268
57	0.2195252739
58	0.2187575112
59	0.2161329403
60	0.2156148512
61	0.2148009829
62	0.2136334449
63	0.2121720241
64	0.2111892305
65	0.2104277729
66	0.2089373152
67	0.2081384698
68	0.2068427037
69	0.2062880377
70	0.2058100334
71	0.2052466604
72	0.2044588014
73	0.2029402576
74	0.2022909542
75	0.201632361
76	0.2011363363
77	0.2006436191
78	0.1996783354
79	0.1992712146
80	0.198486646
81	0.197506116
82	0.1971233121
83	0.1967072243
84	0.1958378535
85	0.1949130887
86	0.1940939837
87	0.1934967952
88	0.1929215756
89	0.1926463725
90	0.1922868308
91	0.191653737
92	0.191375313
93	0.1906909414
94	0.1900826456
95	0.1892773818
96	0.1889727072
97	0.1883005065
98	0.1879682093
99	0.1873886738
100	0.1865281489
101	0.1860856691
102	0.1854865867
103	0.1852918892
104	0.1848751038
105	0.1846908708
106	0.1844183296
107	0.1832981016
108	0.1829098603
109	0.1824262881
110	0.1821084929
111	0.1814412151
112	0.1810942789
113	0.1806697423
114	0.1803330209
115	0.1800387507
116	0.1796380377
117	0.1793996555
118	0.1791730986
119	0.1788411734
120	0.1785945781
121	0.1784132893
122	0.1780113138
123	0.1777912694
124	0.1768791997
125	0.1763215188
126	0.1760379897
127	0.1754382001
128	0.175293305
129	0.1748897741
130	0.1744493007
131	0.1741894469
132	0.1740006412
133	0.1737837034
134	0.1734512063
135	0.1731869039
