iter	Passed	Remaining
399	72700	109050
400	72887	108876
401	73093	108731
402	73316	108610
403	73511	108448
404	73690	108260
405	73853	108050
406	74039	107876
407	74212	107680
408	74427	107546
409	74606	107360
410	74810	107210
411	75009	107052
412	75244	106945
413	75454	106802
414	75654	106645
415	75826	106448
416	76018	106279
417	76201	106098
418	76382	105914
419	76596	105775
420	76810	105637
421	77022	105494
422	77219	105332
423	77403	105151
424	77586	104969
425	77765	104782
426	77975	104636
427	78150	104443
428	78374	104316
429	78566	104146
430	78777	104000
431	78977	103840
432	79173	103675
433	79340	103471
434	79522	103287
435	79708	103108
436	79901	102938
437	80110	102790
438	80327	102650
439	80540	102505
440	80731	102333
441	80916	102152
442	81095	101963
443	81288	101793
444	81477	101617
445	81665	101441
446	81869	101283
447	82068	101120
448	82270	100959
449	82453	100776
450	82639	100597
451	82821	100411
452	83134	100385
453	83335	100223
454	83517	100037
455	83770	99936
456	83943	99740
457	84102	99527
458	84255	99307
459	84405	99084
460	84551	98857
461	84719	98656
462	84886	98453
463	85087	98290
464	85337	98183
465	85551	98035
466	85810	97938
467	85993	97752
468	86182	97575
469	86377	97404
470	86608	97273
471	86814	97114
472	87011	96945
473	87191	96756
474	87360	96556
475	87516	96342
476	87663	96116
477	87804	95886
478	87957	95670
479	88117	95460
480	88301	95277
481	88461	95068
482	88658	94899
483	88839	94712
484	89022	94529
485	89183	94321
486	89357	94127
487	89523	93926
488	89665	93699
489	89814	93480
490	89972	93270
491	90127	93058
492	90301	92866
493	90461	92659
494	90648	92479
495	90833	92298
496	91128	92228
497	91319	92053
498	91487	91854
499	91689	91689
500	91912	91545
501	92100	91366
502	92286	91185
503	92496	91028
504	92673	90838
505	92823	90621
506	93024	90455
507	93197	90262
508	93362	90061
509	93540	89872
510	93721	89686
511	93882	89482
512	94051	89284
513	94202	89070
514	94368	88871
515	94514	88653
516	94663	88438
517	94807	88218
518	94954	88002
519	95126	87808
520	95293	87611
521	95458	87412
522	95628	87217
523	95771	86998
524	95911	86777
525	96077	86579
526	96265	86401
527	96447	86218
528	96633	86038
529	96847	85883
530	97064	85730
531	97267	85566
532	97466	85397
533	97641	85207
534	97862	85057
535	98063	84890
536	98234	84697
537	98417	84514
538	98611	84341
539	98822	84181
540	99049	84036
541	99266	83881
542	99461	83709
543	99655	83534
544	99844	83356
545	100035	83179
546	100274	83042
547	100503	82896
548	100712	82734
549	101159	82766
550	101326	82568
551	101525	82397
552	101704	82209
