iter	Logloss
0	0.6437453836
1	0.6040619174
2	0.5742550628
3	0.541960294
4	0.519162976
5	0.5001414203
6	0.4830400326
7	0.465689115
8	0.4554482819
9	0.4413291419
10	0.431267522
11	0.421163461
12	0.4129092711
13	0.3836405072
14	0.3676767299
15	0.3617886075
16	0.357466608
17	0.3495551453
18	0.339278899
19	0.3343825244
20	0.3241373188
21	0.3192959397
22	0.3153892002
23	0.309304839
24	0.3064067177
25	0.3006552298
26	0.2904530478
27	0.2868439053
28	0.2844290664
29	0.2785768623
30	0.2766117398
31	0.2732798545
32	0.268489961
33	0.2665010113
34	0.2644103856
35	0.2616056196
36	0.2602613604
37	0.2577394888
38	0.2556914322
39	0.2542798598
40	0.253178693
41	0.251682926
42	0.2504672149
43	0.2492152528
44	0.2477793083
45	0.2443963597
46	0.2431325807
47	0.2393558247
48	0.238209952
49	0.2369160608
50	0.2344403895
51	0.2328993679
52	0.232000255
53	0.2305654898
54	0.229548851
55	0.2284604203
56	0.2277486785
57	0.2262895548
58	0.2242116771
59	0.2236963264
60	0.2226036364
61	0.2213769933
62	0.2205896284
63	0.2172510205
64	0.21626296
65	0.2155662901
66	0.2142157963
67	0.2133065961
68	0.2127566391
69	0.2120392302
70	0.2103151794
71	0.2095706816
72	0.2084850158
73	0.20792696
74	0.2074225597
75	0.2067396925
76	0.2050655367
77	0.204009901
78	0.2034885111
79	0.2028583401
80	0.202293516
81	0.2013873967
82	0.2007508004
83	0.1997117168
84	0.1994258826
85	0.1989959729
86	0.1984409936
87	0.1977108072
88	0.1971511617
89	0.1968760358
90	0.1961648277
91	0.1955421947
92	0.1952177724
93	0.1946112004
94	0.1943396374
95	0.1936365258
96	0.1931149577
97	0.192577496
98	0.1920620586
99	0.1917867351
100	0.1899825709
101	0.1894127219
102	0.1887828682
103	0.1880767317
104	0.1877748004
105	0.1866627169
106	0.1862599239
107	0.1858391416
108	0.1856486234
109	0.1854232969
110	0.184558228
111	0.1838609017
112	0.1833781753
113	0.1825401104
114	0.1822994934
115	0.18123645
116	0.1810281749
117	0.1806385675
118	0.1803426349
119	0.1795700299
120	0.1790896442
121	0.178916938
122	0.178686108
123	0.1784816499
124	0.177999937
125	0.1778090352
126	0.1775572275
127	0.1771457856
128	0.1765576964
129	0.1759333634
130	0.1757151775
131	0.1752712708
132	0.1749309726
133	0.1746368733
134	0.1744693825
135	0.1741517612
