iter	Passed	Remaining
168	31743	156086
169	31953	156007
170	32144	155832
171	32346	155714
172	32531	155511
173	32723	155341
174	32911	155156
175	33121	155068
176	33272	154708
177	33420	154333
178	33573	153990
179	33754	153772
180	33969	153707
181	34168	153569
182	34367	153433
183	34563	153282
184	34766	153162
185	34969	153037
186	35170	152908
187	35367	152759
188	35523	152432
189	35682	152121
190	35839	151800
191	35999	151499
192	36156	151183
193	36315	150877
194	36493	150651
195	36686	150491
196	36871	150294
197	37067	150142
198	37250	149936
199	37427	149710
200	37586	149409
201	37761	149177
202	37889	148757
203	38007	148304
204	38146	147932
205	38296	147610
206	38477	147402
207	38669	147241
208	38825	146943
209	38979	146638
210	39140	146359
211	39292	146047
212	39438	145718
213	39636	145581
214	39887	145634
215	40101	145553
216	40309	145450
217	40504	145296
218	40668	145033
219	40888	144966
220	41124	144957
221	41381	145021
222	41699	145293
223	42051	145678
224	42250	145529
225	42451	145385
226	42605	145083
227	42795	144903
228	42953	144616
229	43089	144256
230	43210	143847
231	43351	143509
232	43520	143261
233	43717	143109
234	43914	142955
235	44113	142808
236	44305	142636
237	44531	142576
238	44762	142527
239	44996	142490
240	45258	142535
241	45545	142659
242	45771	142589
243	45973	142444
244	46183	142321
245	46435	142326
246	46682	142315
247	46935	142320
248	47231	142451
249	47437	142312
250	47617	142092
251	47771	141797
252	47893	141407
253	48027	141055
254	48143	140653
255	48263	140264
256	48424	139997
257	48669	139973
258	48932	139996
259	49212	140066
260	49453	140023
261	49654	139866
262	49813	139591
263	49972	139316
264	50129	139037
265	50287	138764
266	50442	138480
267	50604	138218
268	50800	138049
269	51006	137907
270	51202	137735
271	51387	137536
272	51585	137373
273	51814	137288
274	52038	137192
275	52263	137096
276	52529	137107
277	52747	136991
278	52887	136672
279	53046	136405
280	53183	136081
281	53334	135794
282	53514	135582
283	53674	135321
284	53843	135082
285	54048	134931
286	54266	134815
287	54462	134642
288	54658	134470
289	54871	134339
290	55074	134184
291	55274	134022
292	55472	133852
293	55648	133631
294	55877	133537
295	56120	133475
296	56336	133348
297	56554	133226
298	56741	133028
299	56952	132888
300	57218	132875
301	57486	132866
302	57805	132972
303	57974	132729
304	58130	132460
305	58296	132213
306	58467	131981
307	58715	131920
308	59009	131960
309	59270	131924
310	59573	131980
311	59811	131892
312	60071	131850
313	60242	131612
314	60461	131480
315	60711	131414
316	60951	131323
317	61155	131157
318	61488	131265
319	61737	131191
320	61945	131030
321	62150	130862
322	62375	130736
323	62688	130795
324	62836	130505
325	62987	130226
326	63130	129929
327	63317	129723
328	63514	129539
329	63729	129390
330	63914	129181
331	64175	129125
332	64418	129030
333	64654	128922
334	64929	128889
335	65168	128784
336	65367	128601
337	65573	128431
338	65794	128288
339	66064	128242
340	66300	128129
341	66537	128016
342	66822	127994
343	67122	128001
344	67418	127997
345	67611	127798
346	67774	127540
347	67932	127275
348	68079	126989
349	68228	126710
350	68399	126470
351	68677	126428
352	68913	126308
353	69121	126137
354	69321	125950
355	69503	125731
356	69745	125620
357	70010	125548
358	70254	125441
359	70513	125356
360	70800	125322
361	71039	125203
362	71237	125009
363	71447	124836
364	71709	124754
365	71955	124644
366	72208	124544
367	72499	124509
368	72683	124290
369	72846	124035
370	72998	123763
371	73124	123447
372	73304	123222
373	73514	123048
374	73779	122965
375	74043	122880
376	74369	122897
377	74707	122932
378	74917	122753
379	75106	122542
380	75306	122349
381	75548	122222
382	75784	122085
383	76024	121955
384	76321	121915
385	76583	121818
386	76781	121620
387	76981	121423
388	77169	121209
389	77462	121159
390	77740	121084
391	77891	120810
392	78057	120562
393	78227	120319
394	78436	120136
395	78637	119941
396	78904	119847
397	79142	119707
398	79375	119560
399	79637	119455
400	79894	119343
401	80097	119149
402	80304	118962
403	80500	118758
404	80779	118675
405	81046	118575
406	81306	118464
407	81609	118413
408	81808	118212
409	82019	118027
410	82226	117837
411	82406	117609
412	82543	117319
413	82677	117026
414	82828	116758
415	82967	116472
416	83110	116195
417	83314	116003
418	83518	115809
419	83721	115615
420	83932	115431
421	84140	115243
422	84399	115126
423	84659	115009
424	84925	114899
425	85203	114804
426	85414	114619
427	85627	114436
428	85838	114250
429	86051	114067
430	86291	113920
431	86533	113775
432	86782	113638
433	87051	113527
434	87269	113350
435	87468	113147
436	87619	112882
437	87781	112633
438	87938	112376
439	88097	112124
440	88280	111901
441	88481	111702
442	88817	111673
443	89023	111479
444	89243	111303
445	89456	111119
446	89662	110924
447	89896	110765
448	90179	110665
449	90462	110565
450	90715	110427
451	90931	110244
452	91148	110062
453	91338	109847
454	91615	109737
455	91903	109638
456	92177	109524
457	92540	109512
458	92719	109284
459	92888	109042
460	93071	108818
461	93330	108683
462	93490	108433
463	93660	108194
464	93833	107958
465	93997	107714
466	94211	107525
467	94381	107288
468	94574	107077
469	94759	106856
470	94946	106637
471	95286	106591
472	95455	106352
473	95614	106103
474	95851	105941
475	96136	105830
476	96353	105645
477	96573	105463
478	96733	105215
479	96956	105035
480	97265	104949
481	97478	104759
482	97667	104542
483	97859	104329
484	98048	104112
485	98233	103893
486	98459	103715
487	98745	103601
488	99024	103479
489	99249	103300
490	99435	103080
491	99614	102854
492	99845	102680
493	100039	102469
494	100220	102245
495	100490	102111
496	100688	101904
497	100981	101792
498	101197	101603
499	101411	101411
500	101624	101218
501	101807	100996
502	102020	100803
503	102326	100702
504	102569	100538
505	102727	100290
506	102896	100055
507	103067	99821
508	103288	99635
509	103478	99420
510	103713	99248
511	103992	99117
512	104159	98880
513	104407	98719
514	104626	98531
515	104845	98343
516	105036	98129
517	105200	97889
518	105386	97670
519	105626	97501
520	105904	97366
521	106235	97280
522	106425	97065
523	106603	96838
524	106798	96627
525	106967	96392
526	107181	96198
527	107364	95977
528	107527	95738
529	107696	95504
530	107868	95274
531	108045	95047
532	108238	94835
533	108506	94688
534	108662	94444
535	108828	94210
536	109005	93984
537	109186	93762
538	109375	93547
539	109566	93334
540	109776	93137
541	109977	92933
542	110186	92735
543	110366	92512
544	110604	92339
545	110864	92183
546	111103	92010
547	111358	91850
548	111699	91760
549	112049	91676
550	112245	91466
551	112392	91217
552	112542	90970
553	112678	90712
554	112801	90444
555	112986	90226
556	113198	90030
557	113387	89815
558	113595	89616
559	113806	89419
560	114012	89218
561	114189	88994
562	114471	88852
563	114730	88692
564	114998	88538
565	115324	88429
566	115665	88330
567	115897	88147
568	116102	87943
569	116315	87747
570	116579	87587
571	116814	87406
572	117081	87249
573	117312	87064
574	117475	86829
575	117626	86586
576	117767	86335
577	117951	86116
578	118249	85981
579	118518	85823
580	118790	85668
581	119131	85561
582	119345	85363
583	119551	85160
584	119736	84941
585	119917	84720
586	120171	84550
587	120416	84373
588	120623	84170
589	120821	83960
590	121033	83760
591	121244	83560
592	121437	83347
593	121650	83148
594	121893	82969
595	122179	82819
596	122458	82664
597	122625	82433
598	122777	82193
599	122933	81955
600	123121	81739
601	123399	81583
602	123658	81413
603	123910	81239
604	124229	81108
605	124552	80979
606	124887	80857
607	125154	80691
608	125382	80500
609	125596	80299
610	125760	80067
611	125927	79836
612	126091	79604
613	126285	79391
614	126495	79188
615	126699	78981
616	126916	78782
617	127093	78559
618	127219	78304
619	127363	78061
620	127514	77823
621	127645	77572
622	127771	77319
623	127988	77121
624	128348	77009
625	128559	76807
626	128774	76607
627	128971	76397
628	129233	76224
629	129484	76046
630	129693	75843
631	129935	75658
632	130182	75476
633	130388	75271
634	130598	75068
635	130796	74858
636	131056	74683
637	131293	74495
638	131574	74332
639	131831	74155
640	132042	73952
641	132210	73724
642	132380	73499
643	132530	73261
644	132678	73024
645	132843	72796
646	133122	72630
647	133415	72472
648	133673	72294
649	133884	72091
650	134093	71887
651	134283	71672
652	134509	71477
653	134810	71321
654	135050	71133
655	135243	70920
656	135471	70725
657	135699	70530
658	135914	70329
659	136151	70138
660	136314	69910
661	136548	69717
662	136789	69529
663	137083	69367
664	137251	69141
665	137419	68915
666	137571	68682
667	137711	68443
668	137898	68227
669	138195	68066
670	138465	67891
671	138754	67725
672	139019	67547
673	139235	67345
674	139446	67140
675	139659	66937
676	139903	66748
677	140147	66559
678	140415	66381
679	140726	66224
680	141057	66075
681	141299	65884
682	141508	65678
683	141676	65453
684	141854	65232
685	142004	64999
686	142143	64761
687	142291	64527
688	142421	64286
689	142558	64048
690	142721	63821
691	142916	63610
692	143132	63407
693	143351	63206
694	143609	63022
695	143859	62835
696	144044	62619
697	144239	62407
698	144441	62198
699	144634	61986
700	144841	61779
701	145046	61572
702	145305	61387
703	145542	61193
704	145796	61007
705	146056	60822
706	146258	60613
707	146461	60405
708	146655	60193
709	146832	59973
710	146961	59735
711	147089	59496
712	147219	59259
713	147337	59017
714	147452	58774
715	147579	58536
716	147833	58349
717	148121	58175
718	148337	57973
719	148560	57773
720	148761	57565
721	148997	57370
722	149217	57169
723	149425	56963
724	149644	56761
725	149889	56569
726	150090	56361
727	150285	56150
728	150489	55943
729	150725	55747
730	150925	55538
731	151104	55322
732	151263	55098
733	151431	54878
734	151620	54665
735	151833	54461
736	151971	54231
737	152108	54000
738	152237	53767
739	152359	53531
740	152495	53301
741	152650	53078
742	152832	52864
743	153053	52663
744	153320	52478
745	153535	52276
746	153733	52067
747	153926	51857
748	154147	51657
749	154346	51448
750	154523	51233
751	154682	51012
752	154842	50791
753	155042	50584
754	155236	50374
755	155442	50169
756	155617	49953
757	155771	49731
758	155927	49510
759	156084	49289
760	156238	49068
761	156394	48847
762	156558	48629
763	156766	48425
764	156933	48208
765	157078	47984
766	157218	47759
767	157326	47525
768	157435	47292
769	157624	47082
770	157824	46876
771	158042	46675
772	158249	46471
773	158439	46262
774	158636	46055
775	158824	45846
776	159010	45636
777	159226	45434
778	159394	45219
779	159550	45001
780	159704	44782
781	159865	44566
782	160070	44361
783	160269	44155
784	160450	43944
785	160629	43733
786	160848	43533
787	161052	43328
788	161253	43123
789	161429	42911
790	161611	42701
791	161802	42493
792	161938	42271
793	162089	42053
794	162221	41830
795	162329	41602
796	162475	41383
797	162693	41182
798	162893	40978
799	163117	40779
800	163369	40587
801	163617	40394
802	163820	40190
803	164011	39982
804	164230	39782
805	164428	39577
806	164626	39371
807	164821	39165
808	165020	38960
809	165310	38776
810	165489	38566
811	165681	38359
812	165871	38152
813	166077	37948
814	166257	37739
815	166447	37532
816	166665	37331
817	166829	37118
818	166965	36899
819	167118	36684
820	167243	36463
821	167381	36245
822	167573	36039
823	167765	35833
824	167951	35626
825	168151	35421
826	168357	35218
827	168583	35019
828	168807	34820
829	169030	34620
830	169211	34412
831	169387	34203
832	169543	33990
833	169700	33777
834	169859	33565
835	170014	33352
836	170209	33147
837	170408	32942
838	170598	32737
839	170785	32530
840	171011	32331
841	171212	32127
842	171405	31922
843	171601	31717
844	171760	31506
845	171889	31289
846	172048	31078
847	172178	30862
848	172293	30643
849	172478	30437
850	172698	30237
851	172877	30030
852	173038	29820
853	173196	29609
854	173387	29404
855	173582	29200
856	173770	28995
857	173964	28791
858	174119	28580
859	174277	28370
860	174431	28160
861	174587	27950
862	174744	27740
863	174908	27531
864	175107	27328
865	175300	27125
866	175496	26921
867	175671	26715
868	175905	26517
869	176105	26314
870	176301	26111
871	176493	25907
872	176683	25703
873	176812	25490
874	176970	25281
875	177125	25072
876	177238	24857
877	177388	24648
878	177613	24449
879	177812	24247
880	178012	24044
881	178230	23844
882	178426	23642
883	178624	23439
884	178828	23237
885	178988	23030
886	179151	22823
887	179305	22615
888	179462	22407
889	179618	22200
890	179776	21992
891	179967	21789
892	180170	21588
893	180357	21384
894	180535	21180
895	180714	20975
896	180917	20774
897	181070	20567
898	181228	20360
899	181385	20153
900	181569	19950
901	181720	19743
902	181851	19534
903	182008	19328
904	182136	19119
905	182256	18909
906	182434	18706
907	182646	18506
908	182847	18304
909	183049	18103
910	183296	17907
911	183537	17709
912	183757	17510
913	183946	17307
914	184166	17108
915	184363	16906
916	184547	16703
917	184732	16501
918	184923	16298
919	185151	16100
920	185379	15901
921	185603	15701
922	185794	15499
923	185947	15294
924	186108	15089
925	186263	14884
926	186434	14681
927	186586	14476
928	186698	14268
929	186846	14063
930	186997	13859
931	187139	13653
932	187286	13449
933	187463	13246
934	187617	13042
935	187779	12839
936	187934	12635
937	188090	12432
938	188251	12229
939	188441	12028
940	188624	11826
941	188808	11625
942	188989	11423
943	189160	11221
944	189359	11020
945	189544	10819
946	189698	10616
947	189857	10414
948	190045	10213
949	190244	10012
950	190436	9812
951	190622	9611
952	190782	9409
953	190939	9206
954	191095	9004
955	191254	8802
956	191424	8601
957	191569	8398
958	191690	8195
959	191824	7992
960	191967	7790
961	192109	7588
962	192246	7386
963	192464	7187
964	192651	6987
965	192834	6787
966	193015	6586
967	193238	6388
968	193429	6188
969	193625	5988
970	193815	5788
971	193998	5588
972	194181	5388
973	194362	5188
974	194608	4989
975	194773	4789
976	195083	4592
977	195405	4395
978	195640	4196
979	195835	3996
980	196052	3797
981	196230	3596
982	196400	3396
983	196536	3195
984	196646	2994
985	196765	2793
986	196909	2593
987	197071	2393
988	197266	2194
989	197440	1994
990	197639	1794
991	197851	1595
992	198012	1395
993	198172	1196
994	198327	996
995	198514	797
996	198715	597
997	198909	398
998	199098	199
999	199311	0
